sophielevin11,The whole of Leeds is in a collective sulk. Literally the sun has gone in #lufc,
Zac_Leeds,@georgeyboy at last Leeds finally doing something with intent.. sorry but I have gone past depressed decided to laugh my way through this.,
kennybrown1964,@stanners_1982 might as well get sky sports Leeds package get movie channels thrown in free lol,
optimumshaboogi,Steve Evans at leeds?wrong club for a man of his stature!??????????????,
daviddymond3,@BlueMondayITFC did I hear that Leeds have lined up the New Romantic that is Steve Evans?,
CaptNorth,I'm glad I don't take football as serious as I use to. Think being a Leeds United fan right now would push me over the edge :( #lufc,
NeilMegson,@jamesjamesbrown  absolutely magnificent on @talkSPORT  a minute agohe's bang on the money the Leeds Unt chairman is a complete idiot..,
TomSotheran,Another example of bands not wanting to come to the north east wolf Alice going no further than Leeds in March. Can't blame them either,
DJMartinWhelan,As a Leeds fan I'm getting proper fucked off with this farce that's a circus! Rosler didn't deserve to go! Today can fuck off ? #lufc,
Joe_Reacher,He Leeds manager merry go round continues. #joke,
HCAFCTigerlink,The once mighty Leeds United are becoming a laughing stock amongst laughing stocks as yet another manager perishes #Clubisamess,
DanBrett90,Steve Evans is a self-absorbed cretin and an embarrassment to football. Can see his stay at Leeds lasting as long as recent predecessors.,
voiceofbramley,@dozecat007 doesn't - we just laugh at them (honestly!) In Leeds Returning Officer sticks them in an old crisp box - that's how much we care,
thet4pman,Its time to end this shambles and for all Leeds fans to show that clown we have had enough of this..#lufc,
TheCat185,Leeds never fail to entertain. What an absolute joke of a football club #pleaseneverchange #hahahaha #htafc,
ECOzeeFuel,@ECOzeeFuel are stockists of @Verdorenewables premium wood fuels in #Yorkshire #northyorkshire #York #Wetherby #Leeds #Tadcaster #Harrogate,
WBRCtraffic,I-20 EB @ BROMPTON EXIT: crash reported before exit after Moody/Leeds in St Clair Co  Not seeing delays.,
IanBroughall,Leeds United have sacked head coach Uwe Rosler after 12 games in charge.,
DaveGunn70,@JoshSent94 CV up to date mate? Another one gone #Leeds Must be in with a shout soon,
GiovaAlbanese,Esonerato anche #Rösler Massimo #Cellino si conferma un presidente mangiallenatori anche nel #Leeds,
EddieBarron,Mowatt Byram Taylor Cook Bamba.... Please run away from this fucking club. Steve fucking Evans is a joke #leeds,
CraigMConway,Leeds United - Joke of a club!,
astridheath,Steve Evans to Leeds is funny,
Jason_Mckeown,Since Phil Parkinson took over at #bcafc and including caretakers Leeds have just changed managers for 10th time #stability,
26LR179,Just gotta laugh at Dirty Leedssacked Rossler and now having Steve Evens in charge...OMG how low can they sink?,
WPE1965,@MartinDanks @MrRyanLeister Martin as u say I know nothing about football since 2008 Leeds 12 Newcastle 10 Suderland 7 Wolves 5 managers!!,
LufcColin,@Zac_Leeds @LUFC We have no choice but to accept whoever is appointed.,
_footballnews__,#Footballnews Neil Redfearn: Leeds need stability after Uwe Rosler sacking #footballnews,
VitalTechniques,@EmeraldRose locked in from Leeds. Loving the selection. Got something for you as well will fire it now ;),
adsimac,Just heard another joke. It goes like this . .Leeds Utd!,
MattBaxter17,@APOPEY clearly stating things he didn't believe.Leeds under Rosler were predictable and looked stifled by a manager who was too regimented,
joematsav,Steve Evans to leeds ??,
xvegecorex,Porqué todo el mundo habla de un  equipo de cuarta división de Inglaterra? League Two. Leeds United.,
TheXdSwords,For crying out loud @LUFC this is getting beyond a joke. #Cellino needs to sell to someone vested in Leeds United with this joke appt.,
mikethomas501,@EllisBurke oh dear poor you in leeds,
ThorneintheSide,Pie shops in Leeds celebrating,
LeighFrayling,Why have Leeds given their new manager a 2 year contract?  !,
saraadorcheh,Always feel naughty walking through Leeds uni campus during the day like I'm lying to myself and everyone else,
1966MJG,@dancrawford85 Have a couple of Leeds fans who I deal with through work. To say they are not impressed would be putting it lightly,
courteneyells,@SeatSurfer Mobos x2 for 4th November in Leeds,
lufc_callum,Imagine Evans going on a winning run then like 95% of Leeds fans say "I knew he was the right man",
